"","email","license_plate1","period_begin1","license_plate2","period_begin2"
"1","aluna@bulleyn.com","1-PZR-102",2018-08-08,"1-YCA-352",2018-08-08
"2","aariz_drewell@yahoo.com","1-PZR-102",2017-07-03,"1-BQE-096",2018-08-22
"3","winifred.gellert@outlook.com","1-PZR-102",2017-01-15,"1-BUL-570",2018-06-30
"4","winifred.gellert@outlook.com","1-PZR-102",2017-01-15,"1-POI-917",2017-06-08
"5","winifred.gellert@outlook.com","1-PZR-102",2017-01-15,"1-TRL-351",2017-01-15
"6","winifred.gellert@outlook.com","1-PZR-102",2017-01-15,"1-BCG-366",2018-06-30
"7","winifred.gellert@outlook.com","1-PZR-102",2017-01-15,"1-SVZ-211",2018-06-30
"8","winifred.gellert@outlook.com","1-PZR-102",2017-01-15,"1-GXK-887",2017-08-28
"9","winifred.gellert@outlook.com","1-PZR-102",2017-01-15,"1-FZS-779",2018-06-30
"10","alexis_ahearne@yahoo.com","1-IZX-389",2018-09-03,"1-XFT-243",2018-09-03
"11","heela-harses@gmail.com","1-IZX-389",2018-01-13,"1-ZFO-950",2018-01-13
"12","heela-harses@gmail.com","1-IZX-389",2018-01-13,"1-OBQ-352",2018-01-13
"13","heela-harses@gmail.com","1-IZX-389",2018-01-13,"1-WZC-412",2018-08-26
"14","heela-harses@gmail.com","1-IZX-389",2018-01-13,"1-HEW-250",2018-10-24
"15","heela-harses@gmail.com","1-IZX-389",2018-01-13,"1-BUP-153",2018-11-27
"16","mitchel.pengelly@outlook.com","1-IZX-389",2018-08-16,"1-VLZ-903",2018-09-23
"17","iyla-mae.burgisi@outlook.com","1-IZX-389",2018-08-10,"1-ZAI-317",2018-11-09
"18","iyla-mae.burgisi@outlook.com","1-IZX-389",2018-08-10,"1-QMT-716",2018-08-10
"19","iyla-mae.burgisi@outlook.com","1-IZX-389",2018-08-10,"1-TZS-216",2018-08-10
"20","fausta-sparrow@msn.be","1-IZX-389",2017-12-18,"1-CRI-027",2018-04-21
"21","fausta-sparrow@msn.be","1-IZX-389",2017-12-18,"1-VRM-549",2018-04-09
"22","fausta-sparrow@msn.be","1-IZX-389",2017-12-18,"1-THX-072",2018-04-09
